img,tag,title,description,authors,content
https://picsum.photos/800/450?random=1,"Love,表白专栏",How Do I Love Thee?,How Do I Love Thee? — Elizabeth Barrett Browning,"[{""name"": ""Elizabeth Barrett Browning"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original (English)
How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.

## 中文译文
我怎样爱你？让我细数方式。
我爱你如灵魂可达的深与广，
当我摸索无形的彼岸，
只为存在的意义与完美的恩典。

## 赏析
这首诗出自《十四行诗集》，诗人用层层推进的修辞，展现出爱超越生死的永恒力量。"
https://picsum.photos/800/450?random=2,"Love,表白专栏",致橡树,致橡树 — 舒婷,"[{""name"": ""舒婷"", ""avatar"": ""/static/images/avatar/2.jpg""}]","## 原文
我如果爱你——
绝不像攀援的凌霄花，借你的高枝炫耀自己；
我如果爱你——
绝不学痴情的鸟儿，为绿荫重复单调的歌曲。

## 英译
If I love you—
I will never be a climbing flower,
borrowing your tall branches to show off myself;
If I love you—
I will never be a sentimental bird,
repeating the same monotonous song for your shade.

## 赏析
《致橡树》代表了独立、平等的爱情观。诗人以橡树与木棉象征爱情中并肩而立的关系，表达现代女性自尊、自立的精神力量。"
https://picsum.photos/800/450?random=3,"Love,表白专栏",When You Are Old,When You Are Old — W. B. Yeats,"[{""name"": ""W. B. Yeats"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original (English)
When you are old and grey and full of sleep,
And nodding by the fire, take down this book,
And slowly read, and dream of the soft look
Your eyes had once, and of their shadows deep.

## 中文译文
当你老了，头发花白，睡意昏沉，
在炉火旁打盹，请取下这本书，
慢慢读着，回想你眼神的柔和，
那曾经深邃的阴影。

## 赏析
叶芝以温柔的语气回忆逝去的爱情。诗中有哀伤，也有超然，表达诗人对青春与真爱的追忆。"
https://picsum.photos/800/450?random=4,Love,How Do I Love Thee?,How Do I Love Thee? — Elizabeth Barrett Browning,"[{""name"": ""Elizabeth Barrett Browning"", ""avatar"": ""/static/images/avatar/4.jpg""}]","## Original (English)
How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.

## 中文译文
我怎样爱你？让我细数方式。
我爱你如灵魂可达的深与广，
当我摸索无形的彼岸，
只为存在的意义与完美的恩典。

## 赏析
这首诗出自《十四行诗集》，诗人用层层推进的修辞，展现出爱超越生死的永恒力量。"
https://picsum.photos/800/450?random=5,Love,致橡树,致橡树 — 舒婷,"[{""name"": ""舒婷"", ""avatar"": ""/static/images/avatar/5.jpg""}]","## 原文
我如果爱你——
绝不像攀援的凌霄花，借你的高枝炫耀自己；
我如果爱你——
绝不学痴情的鸟儿，为绿荫重复单调的歌曲。

## 英译
If I love you—
I will never be a climbing flower,
borrowing your tall branches to show off myself;
If I love you—
I will never be a sentimental bird,
repeating the same monotonous song for your shade.

## 赏析
《致橡树》代表了独立、平等的爱情观。诗人以橡树与木棉象征爱情中并肩而立的关系，表达现代女性自尊、自立的精神力量。"
https://picsum.photos/800/450?random=6,Love,When You Are Old,When You Are Old — W. B. Yeats,"[{""name"": ""W. B. Yeats"", ""avatar"": ""/static/images/avatar/6.jpg""}]","## Original (English)
When you are old and grey and full of sleep,
And nodding by the fire, take down this book,
And slowly read, and dream of the soft look
Your eyes had once, and of their shadows deep.

## 中文译文
当你老了，头发花白，睡意昏沉，
在炉火旁打盹，请取下这本书，
慢慢读着，回想你眼神的柔和，
那曾经深邃的阴影。

## 赏析
叶芝以温柔的语气回忆逝去的爱情。诗中有哀伤，也有超然，表达诗人对青春与真爱的追忆。"
https://picsum.photos/800/450?random=7,Love,How Do I Love Thee?,How Do I Love Thee? — Elizabeth Barrett Browning,"[{""name"": ""Elizabeth Barrett Browning"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original (English)
How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.

## 中文译文
我怎样爱你？让我细数方式。
我爱你如灵魂可达的深与广，
当我摸索无形的彼岸，
只为存在的意义与完美的恩典。

## 赏析
这首诗出自《十四行诗集》，诗人用层层推进的修辞，展现出爱超越生死的永恒力量。"
https://picsum.photos/800/450?random=8,Love,致橡树,致橡树 — 舒婷,"[{""name"": ""舒婷"", ""avatar"": ""/static/images/avatar/2.jpg""}]","## 原文
我如果爱你——
绝不像攀援的凌霄花，借你的高枝炫耀自己；
我如果爱你——
绝不学痴情的鸟儿，为绿荫重复单调的歌曲。

## 英译
If I love you—
I will never be a climbing flower,
borrowing your tall branches to show off myself;
If I love you—
I will never be a sentimental bird,
repeating the same monotonous song for your shade.

## 赏析
《致橡树》代表了独立、平等的爱情观。诗人以橡树与木棉象征爱情中并肩而立的关系，表达现代女性自尊、自立的精神力量。"
https://picsum.photos/800/450?random=9,Love,When You Are Old,When You Are Old — W. B. Yeats,"[{""name"": ""W. B. Yeats"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original (English)
When you are old and grey and full of sleep,
And nodding by the fire, take down this book,
And slowly read, and dream of the soft look
Your eyes had once, and of their shadows deep.

## 中文译文
当你老了，头发花白，睡意昏沉，
在炉火旁打盹，请取下这本书，
慢慢读着，回想你眼神的柔和，
那曾经深邃的阴影。

## 赏析
叶芝以温柔的语气回忆逝去的爱情。诗中有哀伤，也有超然，表达诗人对青春与真爱的追忆。"
https://picsum.photos/800/450?random=10,Love,How Do I Love Thee?,How Do I Love Thee? — Elizabeth Barrett Browning,"[{""name"": ""Elizabeth Barrett Browning"", ""avatar"": ""/static/images/avatar/4.jpg""}]","## Original (English)
How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.

## 中文译文
我怎样爱你？让我细数方式。
我爱你如灵魂可达的深与广，
当我摸索无形的彼岸，
只为存在的意义与完美的恩典。

## 赏析
这首诗出自《十四行诗集》，诗人用层层推进的修辞，展现出爱超越生死的永恒力量。"
https://picsum.photos/800/450?random=11,"Love,表白专栏",致橡树,致橡树 — 舒婷,"[{""name"": ""舒婷"", ""avatar"": ""/static/images/avatar/5.jpg""}]","## 原文
我如果爱你——
绝不像攀援的凌霄花，借你的高枝炫耀自己；
我如果爱你——
绝不学痴情的鸟儿，为绿荫重复单调的歌曲。

## 英译
If I love you—
I will never be a climbing flower,
borrowing your tall branches to show off myself;
If I love you—
I will never be a sentimental bird,
repeating the same monotonous song for your shade.

## 赏析
《致橡树》代表了独立、平等的爱情观。诗人以橡树与木棉象征爱情中并肩而立的关系，表达现代女性自尊、自立的精神力量。"
https://picsum.photos/800/450?random=12,"Love,表白专栏",When You Are Old,When You Are Old — W. B. Yeats,"[{""name"": ""W. B. Yeats"", ""avatar"": ""/static/images/avatar/6.jpg""}]","## Original (English)
When you are old and grey and full of sleep,
And nodding by the fire, take down this book,
And slowly read, and dream of the soft look
Your eyes had once, and of their shadows deep.

## 中文译文
当你老了，头发花白，睡意昏沉，
在炉火旁打盹，请取下这本书，
慢慢读着，回想你眼神的柔和，
那曾经深邃的阴影。

## 赏析
叶芝以温柔的语气回忆逝去的爱情。诗中有哀伤，也有超然，表达诗人对青春与真爱的追忆。"
https://picsum.photos/800/450?random=13,Love,How Do I Love Thee?,How Do I Love Thee? — Elizabeth Barrett Browning,"[{""name"": ""Elizabeth Barrett Browning"", ""avatar"": ""/static/images/avatar/1.jpg""}]","## Original (English)
How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.

## 中文译文
我怎样爱你？让我细数方式。
我爱你如灵魂可达的深与广，
当我摸索无形的彼岸，
只为存在的意义与完美的恩典。

## 赏析
这首诗出自《十四行诗集》，诗人用层层推进的修辞，展现出爱超越生死的永恒力量。"
https://picsum.photos/800/450?random=14,Love,致橡树,致橡树 — 舒婷,"[{""name"": ""舒婷"", ""avatar"": ""/static/images/avatar/2.jpg""}]","## 原文
我如果爱你——
绝不像攀援的凌霄花，借你的高枝炫耀自己；
我如果爱你——
绝不学痴情的鸟儿，为绿荫重复单调的歌曲。

## 英译
If I love you—
I will never be a climbing flower,
borrowing your tall branches to show off myself;
If I love you—
I will never be a sentimental bird,
repeating the same monotonous song for your shade.

## 赏析
《致橡树》代表了独立、平等的爱情观。诗人以橡树与木棉象征爱情中并肩而立的关系，表达现代女性自尊、自立的精神力量。"
https://picsum.photos/800/450?random=15,Love,When You Are Old,When You Are Old — W. B. Yeats,"[{""name"": ""W. B. Yeats"", ""avatar"": ""/static/images/avatar/3.jpg""}]","## Original (English)
When you are old and grey and full of sleep,
And nodding by the fire, take down this book,
And slowly read, and dream of the soft look
Your eyes had once, and of their shadows deep.

## 中文译文
当你老了，头发花白，睡意昏沉，
在炉火旁打盹，请取下这本书，
慢慢读着，回想你眼神的柔和，
那曾经深邃的阴影。

## 赏析
叶芝以温柔的语气回忆逝去的爱情。诗中有哀伤，也有超然，表达诗人对青春与真爱的追忆。"
https://picsum.photos/800/450?random=16,Love,How Do I Love Thee?,How Do I Love Thee? — Elizabeth Barrett Browning,"[{""name"": ""Elizabeth Barrett Browning"", ""avatar"": ""/static/images/avatar/4.jpg""}]","## Original (English)
How do I love thee? Let me count the ways.
I love thee to the depth and breadth and height
My soul can reach, when feeling out of sight
For the ends of being and ideal grace.

## 中文译文
我怎样爱你？让我细数方式。
我爱你如灵魂可达的深与广，
当我摸索无形的彼岸，
只为存在的意义与完美的恩典。

## 赏析
这首诗出自《十四行诗集》，诗人用层层推进的修辞，展现出爱超越生死的永恒力量。"
https://picsum.photos/800/450?random=17,情书博物馆,致橡树,致橡树 — 舒婷,"[{""name"": ""舒婷"", ""avatar"": ""/static/images/avatar/5.jpg""}]","## 原文
我如果爱你——
绝不像攀援的凌霄花，借你的高枝炫耀自己；
我如果爱你——
绝不学痴情的鸟儿，为绿荫重复单调的歌曲。

## 英译
If I love you—
I will never be a climbing flower,
borrowing your tall branches to show off myself;
If I love you—
I will never be a sentimental bird,
repeating the same monotonous song for your shade.

## 赏析
《致橡树》代表了独立、平等的爱情观。诗人以橡树与木棉象征爱情中并肩而立的关系，表达现代女性自尊、自立的精神力量。"
https://picsum.photos/800/450?random=18,情书博物馆,When You Are Old,When You Are Old — W. B. Yeats,"[{""name"": ""W. B. Yeats"", ""avatar"": ""/static/images/avatar/6.jpg""}]","## Original (English)
When you are old and grey and full of sleep,
And nodding by the fire, take down this book,
And slowly read, and dream of the soft look
Your eyes had once, and of their shadows deep.

## 中文译文
当你老了，头发花白，睡意昏沉，
在炉火旁打盹，请取下这本书，
慢慢读着，回想你眼神的柔和，
那曾经深邃的阴影。

## 赏析
叶芝以温柔的语气回忆逝去的爱情。诗中有哀伤，也有超然，表达诗人对青春与真爱的追忆。"
